City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Pevek,RU,2022-11-20 17:06:29,69.7008,170.3133,-24.59,98,100,9.31
68,Cape Town,ZA,2022-11-20 17:05:27,-33.9258,18.4232,69.12,57,2,8.99
69,Altona,DE,2022-11-20 17:06:29,53.55,9.9333,36.14,89,75,2.3
70,Kruisfontein,ZA,2022-11-20 17:06:30,-34.0033,24.7314,61.29,64,24,5.57
71,Srednekolymsk,RU,2022-11-20 17:06:31,67.45,153.6833,-31.65,100,47,5.17
72,Itoman,JP,2022-11-20 17:06:31,26.1247,127.6694,75.22,83,40,12.66
73,Seoul,KR,2022-11-20 17:05:23,37.5683,126.9778,49.44,58,3,1.25
74,Cabo San Lucas,MX,2022-11-20 17:04:39,22.8909,-109.9124,79.52,61,20,4.61
75,Esperance,AU,2022-11-20 17:06:32,-33.8667,121.9,55.56,68,100,9.62
76,Provideniya,RU,2022-11-20 17:06:32,64.3833,-173.3,21.33,91,100,11.25
77,La Rioja,ES,2022-11-20 17:06:33,42.25,-2.5,49.78,76,98,2.17
78,Nikolskoye,RU,2022-11-20 17:06:33,59.7035,30.7861,24.69,94,98,5.21
79,Necochea,AR,2022-11-20 17:06:34,-38.5473,-58.7368,57.99,97,100,13.96
80,Juegang,CN,2022-11-20 17:06:34,32.3174,121.1855,60.49,90,84,8.52
81,Victoria,HK,2022-11-20 17:04:19,22.2855,114.1577,76.32,77,38,5.99
82,Bethel,US,2022-11-20 17:06:35,41.3712,-73.414,37.2,39,75,21.85
83,Sabzevar,IR,2022-11-20 17:06:35,36.2126,57.6819,55.56,37,0,5.59
84,Bograd,RU,2022-11-20 17:06:36,54.2344,90.8328,2.3,81,37,4.03
85,Port Elizabeth,ZA,2022-11-20 17:02:45,-33.918,25.5701,63.77,72,32,4.94
86,Bambous Virieux,MU,2022-11-20 17:06:36,-20.3428,57.7575,76.21,69,13,6.46
87,Igis,CH,2022-11-20 17:06:37,46.9453,9.5722,40.68,87,61,2.57
88,Fortuna,US,2022-11-20 17:06:37,40.5982,-124.1573,48.54,81,0,10.36
89,Loukhi,RU,2022-11-20 17:06:37,66.0764,33.0381,21.54,97,75,0.58
90,Lagoa,PT,2022-11-20 17:07:38,39.05,-27.9833,64.38,93,93,23.8
91,Takoradi,GH,2022-11-20 17:07:38,4.8845,-1.7554,81.54,75,93,8.81
92,Aksarka,RU,2022-11-20 17:07:39,66.5606,67.7975,5.13,95,100,13.29
93,Taoudenni,ML,2022-11-20 17:07:39,22.6783,-3.9836,83.34,9,0,13.22
94,Sitka,US,2022-11-20 17:07:40,57.0531,-135.33,46.29,76,100,10.36
95,Pangnirtung,CA,2022-11-20 17:07:40,66.1451,-65.7125,-1.55,62,22,6.04
96,Aksu,CN,2022-11-20 17:07:41,41.1231,80.2644,36.68,37,8,2.73
97,Beni Suef,EG,2022-11-20 17:07:41,29.0731,31.0979,71.58,33,37,6.67
98,Saint-Joseph,RE,2022-11-20 17:07:41,-21.3667,55.6167,75.58,79,42,7.2
99,Yarkovo,RU,2022-11-20 17:07:42,57.4028,67.0786,13.87,95,100,4.29
100,Zhucheng,CN,2022-11-20 17:07:42,35.9947,119.3975,57.7,84,99,4.27
101,Buluang,PH,2022-11-20 17:07:42,13.3068,123.3425,76.35,93,83,2.77
102,Monte Alegre,BR,2022-11-20 17:03:55,-2.0078,-54.0692,93.7,39,15,6.24
103,Mitsamiouli,KM,2022-11-20 17:07:43,-11.3847,43.2844,78.1,79,5,12.12
104,Lorengau,PG,2022-11-20 17:07:43,-2.0226,147.2712,81.93,73,85,8.41
105,Upernavik,GL,2022-11-20 17:07:44,72.7868,-56.1549,13.71,94,100,13.09
106,San Cristobal,VE,2022-11-20 17:06:58,7.7669,-72.225,82.18,54,62,4.23
107,Kuito,AO,2022-11-20 17:07:44,-12.3833,16.9333,67.53,61,41,4.59
108,Kirovskiy,RU,2022-11-20 17:07:45,45.0917,133.5136,29.37,98,100,1.9
109,Bhagwantnagar,IN,2022-11-20 17:07:45,26.2333,80.75,66.65,55,0,5.73
110,Faanui,PF,2022-11-20 17:07:46,-16.4833,-151.75,78.58,75,100,18.41
111,Klyuchi,RU,2022-11-20 17:07:46,52.2667,79.1667,7.66,76,11,5.84
112,Villanueva,HN,2022-11-20 17:06:20,15.3167,-88.0,85.19,70,40,4.61
113,Kodiak,US,2022-11-20 17:07:47,57.79,-152.4072,38.71,93,100,5.75
114,Tawau,MY,2022-11-20 17:07:47,4.2498,117.8871,78.8,85,90,2.68
115,Hermanus,ZA,2022-11-20 17:07:47,-34.4187,19.2345,67.8,69,3,9.04
116,Shahrud,IR,2022-11-20 17:07:48,36.4182,54.9763,49.69,54,3,5.01
117,Ilulissat,GL,2022-11-20 17:07:48,69.2167,-51.1,21.22,58,100,2.3
118,Henties Bay,NA,2022-11-20 17:07:49,-22.116,14.2845,64.26,72,97,10.94
119,Pontianak,ID,2022-11-20 17:07:49,-0.0333,109.3333,76.98,94,40,3.44
120,Loma Bonita,PA,2022-11-20 17:07:49,8.3833,-80.1667,85.55,70,20,3.65
121,Nizhniy Tsasuchey,RU,2022-11-20 17:07:50,50.5167,115.1333,-2.6,95,15,4.45
122,Kasane,BW,2022-11-20 17:07:50,-17.8167,25.15,86.95,17,3,6.22
123,Alofi,NU,2022-11-20 17:04:05,-19.0595,-169.9187,76.64,80,78,9.17
124,Eenhana,NA,2022-11-20 17:07:50,-17.4667,16.3333,86.4,29,94,7.45
125,Saint George,US,2022-11-20 17:07:44,37.1041,-113.5841,41.25,41,0,0.0
126,Jiangyou,CN,2022-11-20 17:07:51,31.7667,104.7167,59.05,73,100,4.14
127,Palana,RU,2022-11-20 17:07:51,59.1167,159.9667,21.54,90,100,10.78
128,Hilo,US,2022-11-20 17:07:52,19.7297,-155.09,70.25,91,75,5.75
