City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
156,Sao Filipe,CV,2022-11-20 17:09:04,14.8961,-24.4956,77.97,65,67,14.2,Hotel Xaguate
160,Tshikapa,CD,2022-11-20 17:09:05,-6.4167,20.8,72.05,92,78,2.53,Tatem beach
162,Ambon,ID,2022-11-20 17:09:06,-3.6954,128.1814,77.14,94,40,6.91,Swiss-Belhotel Ambon
168,Carnarvon,AU,2022-11-20 17:09:09,-24.8667,113.6333,69.46,69,0,20.85,Hospitality Carnarvon
170,Byron Bay,AU,2022-11-20 17:06:41,-28.65,153.6167,70.52,50,89,7.18,Backpackers Inn
171,Chino,US,2022-11-20 17:08:09,34.0122,-117.6889,68.81,20,0,9.22,"Motel 6 Chino, CA - Los Angeles Area"
175,Dingle,PH,2022-11-20 17:09:11,10.9995,122.6711,76.08,91,98,5.44,SEGAYA PROPERTY
177,Omboue,GA,2022-11-20 17:10:12,-1.5746,9.2618,76.08,89,100,6.96,Hotel Olako
178,Bengkulu,ID,2022-11-20 17:10:12,-3.8004,102.2655,74.71,90,77,5.41,Grage Hotel Bengkulu
179,Avarua,CK,2022-11-20 17:10:12,-21.2078,-159.775,71.65,73,34,4.61,Paradise Inn
183,Taungdwingyi,MM,2022-11-20 17:10:14,20.0167,95.55,71.98,57,8,3.96,NayNaing MobileService
185,Honiara,SB,2022-11-20 17:10:15,-9.4333,159.95,79.56,85,79,5.14,Heritage Park Hotel
187,Daru,PG,2022-11-20 17:10:16,-9.0763,143.2092,78.33,87,97,1.28,Daru Lodge
190,Boyolangu,ID,2022-11-20 17:10:18,-8.1181,111.8935,76.98,87,85,2.95,Yos ega cv
191,East London,ZA,2022-11-20 17:10:19,-33.0153,27.9116,66.7,71,45,9.24,Tu Casa
193,Caravelas,BR,2022-11-20 17:06:14,-17.7125,-39.2481,75.74,86,100,5.5,Pousada dos Navegantes
195,Katherine,AU,2022-11-20 17:10:20,-14.4667,132.2667,79.12,89,100,4.61,Pine Tree Motel
197,Makakilo City,US,2022-11-20 17:10:21,21.3469,-158.0858,75.18,70,0,8.05,Marriott's Ko Olina Beach Club
200,Hithadhoo,MV,2022-11-20 17:10:23,-0.6,73.0833,81.16,76,6,8.12,Scoop Guest House
205,Puerto Ayora,EC,2022-11-20 17:10:24,-0.7393,-90.3518,76.96,98,97,5.99,Finch Bay Galapagos Hotel
209,Paracuru,BR,2022-11-20 17:10:26,-3.41,-39.0306,82.11,61,35,16.71,Hotel Vento Brasil
210,Yeppoon,AU,2022-11-20 17:10:26,-23.1333,150.7333,76.78,94,95,2.15,Villa Mar Colina
212,Paita,PE,2022-11-20 17:10:27,-5.0892,-81.1144,72.39,64,1,12.55,Hotel Náutico de Paita
214,Flinders,AU,2022-11-20 17:10:28,-34.5833,150.8552,65.25,48,29,7.0,Shellharbour Resort & Conference Centre
215,Guerrero Negro,MX,2022-11-20 17:10:06,27.9769,-114.0611,65.64,36,0,1.25,"Casa Laguna, Bed & Breakfast"
218,Dicabisagan,PH,2022-11-20 17:10:29,17.0818,122.4157,76.91,90,93,2.84,Nancy Montanes Bernardo
221,Monte Santo De Minas,BR,2022-11-20 17:10:30,-21.1897,-46.9803,81.0,42,40,3.87,Fazenda Poço Vermelho
222,Mackay,AU,2022-11-20 17:10:30,-21.15,149.2,77.97,88,95,10.0,International Lodge Motel
230,Port Blair,IN,2022-11-20 17:11:33,11.6667,92.75,79.99,79,99,5.26,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
232,Thabazimbi,ZA,2022-11-20 17:11:34,-24.5917,27.4116,76.21,18,88,1.14,Eagle's Rest
234,Cidreira,BR,2022-11-20 17:11:35,-30.1811,-50.2056,74.88,67,43,19.91,Hotel Castelo
238,Yanam,IN,2022-11-20 17:11:36,16.7333,82.2167,77.59,69,100,7.74,The Regency Hotel
240,Kimbe,PG,2022-11-20 17:11:37,-5.5502,150.1429,76.3,92,82,1.41,Kimbe Bay Hotel
241,Kieta,PG,2022-11-20 17:11:37,-6.2167,155.6333,78.06,82,14,0.76,Uruna Bay Retreat
247,Methoni,GR,2022-11-20 17:11:40,36.8197,21.7049,71.46,81,100,20.47,Methoni Beach Hotel
251,Antalaha,MG,2022-11-20 17:11:41,-14.9003,50.2788,74.01,82,2,5.93,Hotel Vitasoa
252,Calama,CL,2022-11-20 17:11:42,-22.4667,-68.9333,75.69,10,0,19.57,Park Hotel Calama
254,Noumea,NC,2022-11-20 17:11:42,-22.2763,166.4572,75.99,99,38,6.89,Hôtel Le Lagon
255,Ribeira Grande,PT,2022-11-20 17:11:43,38.5167,-28.7,68.4,88,75,18.01,Quinta da Meia Eira
256,Tabuk,PH,2022-11-20 17:11:43,17.4189,121.4443,73.18,85,89,3.31,Golden Berries Hotel and Convention
257,Laranjeiras Do Sul,BR,2022-11-20 17:10:00,-25.4078,-52.4161,81.27,49,37,6.62,Hotel Palmeiras
258,Loandjili,CG,2022-11-20 17:11:44,-4.7561,11.8578,77.04,85,79,4.34,Résidence ARCHANGE
259,Georgetown,MY,2022-11-20 17:11:35,5.4112,100.3354,82.89,77,100,6.6,Cititel Penang
260,Saint-Philippe,RE,2022-11-20 17:11:44,-21.3585,55.7679,76.59,78,64,12.06,Le four à pain
261,Moranbah,AU,2022-11-20 17:11:45,-22.0016,148.0466,77.81,75,94,10.76,Property Vine - Monterey Moranbah
266,Kiama,AU,2022-11-20 17:11:47,-34.6833,150.8667,65.44,46,22,5.01,The Sebel Kiama Harbourside
268,Bosaso,SO,2022-11-20 17:06:54,11.2842,49.1816,79.23,68,91,6.8,Red Sea Hotel
273,Jinotega,NI,2022-11-20 17:12:49,13.0917,-86.0018,68.68,82,93,7.31,Camping Piedra Grande
274,Sechura,PE,2022-11-20 17:12:50,-5.5569,-80.8222,77.36,52,3,9.78,Hospedaje Costa Bella
277,Biak,ID,2022-11-20 17:12:51,-0.9131,122.8766,76.46,85,100,2.84,Penginapan Kim
280,Grand Gaube,MU,2022-11-20 17:12:52,-20.0064,57.6608,76.37,68,5,1.99,Veranda Paul et Virginie Hotel & Spa
281,Asfi,MA,2022-11-20 17:12:53,32.2994,-9.2372,68.32,65,12,22.24,Hôtel Abda
287,Castro,BR,2022-11-20 17:12:55,-24.7911,-50.0119,81.27,39,11,8.01,CHACARA BAILLY
289,Pemangkat,ID,2022-11-20 17:12:56,1.1667,108.9667,79.11,85,94,7.05,Hotel Duyung Permai 2
298,Doha,QA,2022-11-20 17:13:00,25.2867,51.5333,75.18,60,0,14.97,Mövenpick Doha
299,Kasongo,CD,2022-11-20 17:13:00,-4.45,26.6667,74.57,72,58,2.73,Guest Hôtel
301,Mchinji,MW,2022-11-20 17:08:10,-13.7984,32.8802,79.38,37,63,5.77,Kayesa Inn
